Frequency,Channel A,Channel B
(ms),(mV),(mV)

-46.89825181,-113.97440000,-21.07150000
-46.87777181,-114.42610000,-21.52623000
-46.85729181,-114.88390000,-21.92450000
-46.83681181,-115.56750000,-22.09540000
-46.81633181,-115.56750000,-22.32276000
-46.79585181,-116.24500000,-22.49367000
-46.77537181,-116.92860000,-22.60659000
-46.75489181,-117.61220000,-22.83395000
-46.73441181,-117.83810000,-23.06284000
-46.71393181,-118.06390000,-22.20832000
-46.69345181,-118.52170000,-22.43568000
-46.67297181,-119.20530000,-22.60659000
-46.65249181,-119.88280000,-22.37922000
-46.63201181,-120.56640000,-22.55013000
-46.61153181,-121.25000000,-22.77749000
-46.59105181,-121.47590000,-22.43568000
-46.57057181,-121.93360000,-22.83395000
-46.55009181,-122.61120000,-23.57402000
-46.52961181,-123.06890000,-23.29020000
-46.50913181,-123.29480000,-23.63048000
-46.48865181,-123.75250000,-23.63048000
-46.46817181,-123.97840000,-23.57402000
-46.44769181,-123.97840000,-24.02875000
-46.42721181,-124.66200000,-24.37056000
-46.40673181,-125.33950000,-24.25764000
-46.38625181,-125.79730000,-24.59792000
-46.36577181,-126.93260000,-23.40312000
-46.34529181,-127.15840000,-23.34666000
-46.32481181,-127.84200000,-23.63048000
-46.30433181,-128.06790000,-23.97229000
-46.28385181,-128.97730000,-23.85937000
-46.26337181,-130.11870000,-25.62181000
-46.24289181,-130.34450000,-25.90716000
-46.22241181,-130.79620000,-26.07806000
-46.20193181,-130.57040000,-27.61315000
-46.18145181,-131.02820000,-27.67113000
-46.16097181,-131.02820000,-27.95495000
-46.14049181,-131.70570000,-27.72759000
-46.12001181,-131.70570000,-27.84051000
-46.09953181,-131.25400000,-26.53279000
-46.07905181,-131.93760000,-26.58925000
-46.05857181,-131.70570000,-26.53279000
-46.03809181,-131.93760000,-26.76015000
-46.01761181,-132.38930000,-26.87460000
-45.99713181,-132.84710000,-26.76015000
-45.97665181,-133.07290000,-27.21488000
-45.95617181,-133.29880000,-27.67113000
-45.93569181,-133.29880000,-28.06940000
-45.91521181,-133.29880000,-28.01141000
-45.89473181,-134.43400000,-27.72759000
-45.87425181,-135.11760000,-27.61315000
-45.85377182,-135.57540000,-27.72759000
-45.83329182,-136.03320000,-28.06940000
-45.81281182,-136.03320000,-28.18232000
-45.79233182,-136.71070000,-28.29676000
-45.77185182,-137.16850000,-28.01294000
-45.75137182,-137.62630000,-28.18232000
-45.73089182,-137.85210000,-28.58058000
-45.71041182,-137.85210000,-28.80947000
-45.68993182,-137.85210000,-28.80947000
-45.66945182,-137.85210000,-28.18232000
-45.64897182,-138.30380000,-27.95495000
-45.62849182,-138.30380000,-27.84204000
-45.60801182,-138.53570000,-28.06940000
-45.58753182,-138.98740000,-28.18232000
-45.56705182,-138.76160000,-28.75149000
-45.54657182,-138.98740000,-28.63857000
-45.52609182,-138.98740000,-28.97885000
-45.50561182,-139.44520000,-29.54802000
-45.48513182,-139.67100000,-29.66246000
-45.46465182,-140.12880000,-29.43510000
-45.44417182,-140.58040000,-29.60448000
-45.42369182,-140.58040000,-29.77538000
-45.40321182,-141.03820000,-29.49156000
-45.38273182,-141.26410000,-29.83184000
-45.36225182,-141.71570000,-29.71892000
-45.34177182,-142.17350000,-30.00274000
-45.32129182,-142.85710000,-30.11719000
-45.30081182,-143.08300000,-30.45900000
-45.28033182,-143.08300000,-30.34455000
-45.25985182,-143.30880000,-30.11719000
-45.23937182,-143.76660000,-30.28809000
-45.21889182,-144.21830000,-30.17365000
-45.19841182,-144.44410000,-30.40101000
-45.17793182,-144.44410000,-30.51546000
-45.15745182,-144.44410000,-30.62990000
-45.13697182,-144.67600000,-30.68636000
-45.11649182,-145.12770000,-30.68636000
-45.09601182,-145.35350000,-30.34455000
-45.07553182,-145.12770000,-30.34455000
-45.05505182,-145.35350000,-30.74282000
-45.03457182,-145.58550000,-30.57191000
-45.01409182,-145.58550000,-30.62837000
-44.99361182,-145.58550000,-30.85726000
-44.97313182,-145.58550000,-30.91372000
-44.95265182,-145.81130000,-31.02664000
-44.93217182,-146.03720000,-31.71025000
-44.91169182,-146.72080000,-31.53935000
-44.89121182,-146.72080000,-31.48289000
-44.87073182,-146.94660000,-31.31199000
-44.85025182,-147.17250000,-31.14108000
-44.82977182,-147.40440000,-30.97018000
-44.80929182,-147.63020000,-30.62837000
-44.78881182,-147.40440000,-30.74282000
-44.76833182,-147.40440000,-30.68636000
-44.74785182,-146.72080000,-31.42491000
-44.72737182,-146.49490000,-31.42491000
-44.70689182,-146.26300000,-31.93762000
-44.68641182,-146.03720000,-32.05206000
-44.66593182,-145.81130000,-31.93762000
-44.64545182,-145.58550000,-32.27943000
-44.62497182,-145.81130000,-32.22297000
-44.60449182,-145.81130000,-32.45033000
-44.58401182,-146.26300000,-31.93762000
-44.56353182,-146.72080000,-32.05206000
-44.54305182,-146.94660000,-31.76671000
-44.52257182,-147.40440000,-31.65380000
-44.50209182,-147.40440000,-31.93762000
-44.48161182,-147.63020000,-31.76671000
-44.46113182,-147.63020000,-31.76671000
-44.44065182,-147.63020000,-31.71025000
-44.42017182,-147.85610000,-31.65380000
-44.39969182,-147.40440000,-31.42491000
-44.37921182,-147.63020000,-31.71025000
-44.35873182,-147.40440000,-31.76671000
-44.33825182,-147.40440000,-31.42644000
-44.31777182,-146.72080000,-31.36845000
-44.29729182,-146.72080000,-31.25553000
-44.27681182,-146.72080000,-31.19754000
-44.25633182,-146.26300000,-31.42644000
-44.23585182,-146.49490000,-31.31199000
-44.21537182,-146.26300000,-31.25553000
-44.19489183,-146.26300000,-31.31199000
-44.17441183,-146.49490000,-31.48289000
-44.15393183,-147.17250000,-31.93762000
-44.13345183,-146.94660000,-32.27943000
-44.11297183,-146.72080000,-31.99408000
-44.09249183,-146.72080000,-31.65380000
-44.07201183,-146.49490000,-31.76671000
-44.05153183,-146.49490000,-31.65380000
-44.03105183,-146.49490000,-31.71025000
-44.01057183,-146.03720000,-32.10852000
-43.99009183,-145.81130000,-31.93762000
-43.96961183,-145.81130000,-31.53935000
-43.94913183,-145.81130000,-31.65380000
-43.92865183,-145.81130000,-31.59581000
-43.90817183,-145.81130000,-31.59581000
-43.88769183,-145.12770000,-31.82318000
-43.86721183,-144.90190000,-32.05206000
-43.84673183,-144.90190000,-31.82318000
-43.82625183,-144.90190000,-31.19754000
-43.80577183,-144.67600000,-31.14108000
-43.78529183,-144.21830000,-31.42644000
-43.76481183,-143.76660000,-31.53935000
-43.74433183,-143.30880000,-31.76671000
-43.72385183,-143.30880000,-31.48289000
-43.70337183,-142.85710000,-31.14108000
-43.68289183,-142.39940000,-30.85726000
-43.66241183,-141.71570000,-31.02664000
-43.64193183,-141.03820000,-31.02664000
-43.62145183,-140.58040000,-30.74282000
-43.60097183,-140.12880000,-30.74282000
-43.58049183,-139.44520000,-30.51546000
-43.56001183,-138.98740000,-30.57191000
-43.53953183,-138.30380000,-30.57191000
-43.51905183,-138.07790000,-30.62837000
-43.49857183,-137.62020000,-30.79928000
-43.47809183,-137.16850000,-30.68636000
-43.45761183,-136.71070000,-30.57191000
-43.43713183,-136.25900000,-30.62990000
-43.41665183,-135.80130000,-30.45900000
-43.39617183,-135.11760000,-30.23163000
-43.37569183,-134.66600000,-30.23163000
-43.35521183,-133.75650000,-30.11719000
-43.33473183,-133.07290000,-30.11719000
-43.31425183,-132.84710000,-30.45900000
-43.29377183,-132.38930000,-30.45900000
-43.27329183,-131.70570000,-30.34455000
-43.25281183,-131.47980000,-30.23163000
-43.23233183,-131.25400000,-30.00274000
-43.21185183,-130.79620000,-29.88983000
-43.19137183,-130.79620000,-29.77538000
-43.17089183,-130.34450000,-29.77538000
-43.15041183,-129.66090000,-29.71892000
-43.12993183,-129.20930000,-29.14975000
-43.10945183,-128.97730000,-29.03683000
-43.08897183,-128.06790000,-29.09329000
-43.06849183,-127.15840000,-29.20621000
-43.04801183,-126.48090000,-28.97885000
-43.02753183,-125.11370000,-29.43510000
-43.00705183,-124.66200000,-29.32066000
-42.98657183,-123.97840000,-29.14975000
-42.96609183,-123.29480000,-29.83337000
-42.94561183,-122.38530000,-29.71892000
-42.92513183,-121.93360000,-29.71892000
-42.90465183,-121.47590000,-29.94629000
-42.88417183,-121.02420000,-29.66246000
-42.86369183,-120.79230000,-29.09329000
-42.84321183,-119.88280000,-29.09329000
-42.82273183,-119.43110000,-28.97885000
-42.80225183,-118.52170000,-28.63857000
-42.78177183,-117.61220000,-28.58058000
-42.76129183,-116.70280000,-28.35322000
-42.74081183,-116.01920000,-27.84204000
-42.72033183,-115.33550000,-28.12586000
-42.69985183,-115.10970000,-28.41121000
-42.67937183,-114.42610000,-27.95495000
-42.65889183,-113.51660000,-27.89849000
-42.63841183,-112.83910000,-27.50023000
-42.61793183,-112.38140000,-27.10196000
-42.59745183,-111.92970000,-27.04550000
-42.57697183,-111.24610000,-27.10196000
-42.55649184,-110.33660000,-27.21488000
-42.53601184,-108.96940000,-26.81661000
-42.51553184,-108.28580000,-27.04550000
-42.49505184,-107.60220000,-26.81661000
-42.47457184,-107.15050000,-26.98752000
-42.45409184,-106.46690000,-27.44224000
-42.43361184,-105.55740000,-27.61315000
-42.41313184,-104.87380000,-27.55669000
-42.39265184,-104.19020000,-27.15842000
-42.37217184,-103.73850000,-26.81661000
-42.35169184,-102.14540000,-28.06940000
-42.33121184,-101.23600000,-27.89849000
-42.31073184,-100.32650000,-27.78405000
-42.29025184,-99.41709000,-27.44224000
-42.26977184,-98.50764000,-27.15842000
-42.24929184,-97.37235000,-26.98752000
-42.22881184,-96.91457000,-27.10196000
-42.20833184,-96.00512000,-27.32932000
-42.18785184,-96.00512000,-26.07806000
-42.16737184,-95.32151000,-26.19098000
-42.14689184,-94.64400000,-25.84918000
-42.12641184,-94.18622000,-25.50890000
-42.10593184,-93.73455000,-25.22355000
-42.08545184,-93.05093000,-24.88326000
-42.06497184,-91.91564000,-24.71236000
-42.04449184,-91.00620000,-24.54146000
-42.02401184,-90.32258000,-24.19965000
-42.00353184,-89.41312000,-24.08673000
-41.98305184,-88.04590000,-24.37056000
-41.96257184,-87.36839000,-24.25764000
-41.94209184,-86.45893000,-24.02875000
-41.92161184,-85.77531000,-23.97229000
-41.90113184,-85.09171000,-23.68847000
-41.88065184,-84.18225000,-23.51756000
-41.86017184,-82.81503000,-23.46110000
-41.83969184,-81.90557000,-23.11930000
-41.81921184,-81.45390000,-22.49367000
-41.79873184,-80.54444000,-22.26630000
-41.77825184,-79.86083000,-22.26630000
-41.75777184,-78.71944000,-22.32276000
-41.73729184,-77.58415000,-22.26478000
-41.71681184,-77.12637000,-22.03741000
-41.69633184,-76.67471000,-21.63915000
-41.67585184,-75.99108000,-21.35533000
-41.65537184,-75.30747000,-21.46977000
-41.63489184,-74.39802000,-21.52623000
-41.61441184,-73.72051000,-21.46977000
-41.59393184,-73.03690000,-21.29887000
-41.57345184,-72.12744000,-20.78616000
-41.55297184,-70.76022000,-20.95706000
-41.53249184,-70.08270000,-20.67324000
-41.51201184,-69.17325000,-20.84262000
-41.49153184,-68.03186000,-20.95706000
-41.47105184,-67.12241000,-20.72970000
-41.45057184,-65.76128000,-20.67324000
-41.43009184,-65.07767000,-20.38789000
-41.40961184,-64.62599000,-20.50233000
-41.38913184,-64.16822000,-20.10407000
-41.36865184,-63.03293000,-20.16053000
-41.34817184,-61.66570000,-20.27497000
-41.32769184,-60.75625000,-19.93316000
-41.30721184,-59.62096000,-19.87671000
-41.28673184,-58.93734000,-19.64782000
-41.26625184,-58.02789000,-19.70580000
-41.24577184,-57.11844000,-19.64782000
-41.22529184,-56.20899000,-19.30753000
-41.20481184,-55.75731000,-18.90927000
-41.18433184,-55.53148000,-18.05475000
-41.16385184,-54.84786000,-17.77093000
-41.14337184,-53.93841000,-17.48558000
-41.12289184,-52.79702000,-17.08731000
-41.10241184,-51.66173000,-16.97439000
-41.08193184,-50.06866000,-16.63259000
-41.06145184,-49.38505000,-16.80349000
-41.04097184,-48.02393000,-16.97439000
-41.02049184,-47.10837000,-17.08731000
-41.00001184,-46.19892000,-16.80349000
-40.97953184,-45.52140000,-16.69057000
-40.95905184,-44.61195000,-16.51967000
-40.93857184,-43.70250000,-16.12140000
-40.91809185,-43.01889000,-16.17786000
-40.89761185,-41.65166000,-15.83605000
-40.87713185,-40.74221000,-15.49577000
-40.85665185,-39.60692000,-15.38133000
-40.83617185,-38.69747000,-15.38133000
-40.81569185,-37.33634000,-15.32487000
-40.79521185,-36.42689000,-15.38133000
-40.77473185,-35.51744000,-15.32487000
-40.75425185,-35.28550000,-14.52834000
-40.73377185,-33.24076000,-16.06494000
-40.71329185,-32.78909000,-15.77959000
-40.69281185,-31.87963000,-15.26841000
-40.67233185,-30.97018000,-15.26841000
-40.65185185,-30.06073000,-15.09751000
-40.63137185,-29.15128000,-14.75570000
-40.61089185,-28.24183000,-14.81216000
-40.59041185,-26.19098000,-14.98306000
-40.56993185,-26.19098000,-13.04819000
-40.54945185,-25.05570000,-13.21909000
-40.52897185,-24.14624000,-13.39000000
-40.50849185,-23.23679000,-13.50444000
-40.48801185,-22.77901000,-13.33354000
-40.46753185,-22.10150000,-12.82083000
-40.44705185,-21.18595000,-12.13874000
-40.42657185,-20.96011000,-11.96783000
-40.40609185,-20.05066000,-11.62603000
-40.38561185,-18.91537000,-11.28574000
-40.36513185,-18.00592000,-10.94394000
-40.34465185,-17.09036000,-10.26032000
-40.32417185,-16.41285000,-9.92004100
-40.30369185,-15.27146000,-10.09094000
-40.28321185,-14.13617000,-10.26032000
-40.26273185,-13.00088000,-10.31831000
-40.24225185,-12.54311000,-10.37477000
-40.22177185,-11.63366000,-10.14740000
-40.20129185,-10.72420000,-9.86205700
-40.18081185,-10.04669000,-9.40733000
-40.16033185,-8.67946400,-9.17996700
-40.13985185,-8.22779000,-8.38343300
-40.11937185,-7.31833800,-8.15607100
-40.09889185,-6.17694600,-7.75780500
-40.07841185,-5.04165700,-7.35953800
-40.05793185,-3.90636900,-7.24509400
-40.03745185,-2.53914000,-7.13217500
-40.01697185,-1.17801400,-7.47398200
-39.99649185,-0.26856290,-7.24509400
-39.97601185,1.31840000,-7.75780500
-39.95553185,2.22785100,-7.35953800
-39.93505185,2.91146600,-7.18863400
-39.91457185,4.04675400,-7.53044200
-39.89409185,4.73036900,-7.01773100
-39.87361185,4.95620500,-6.90481200
-39.85313185,6.09149400,-6.67592400
-39.83265185,6.77510900,-6.50654600
-39.81217185,7.68456000,-6.10827900
-39.79169185,8.59401200,-5.82293100
-39.77121185,9.72930000,-5.53910900
-39.75073185,10.63875000,-4.91348000
-39.73025185,11.78014000,-5.14084200
-39.70977185,13.36711000,-4.85549400
-39.68929185,14.27656000,-4.74257600
-39.66881185,15.64379000,-4.79903600
-39.64833185,16.09546000,-4.68611700
-39.62785185,17.00491000,-4.62813200
-39.60737185,17.46269000,-4.57167300
-39.58689185,18.37214000,-4.17340600
-39.56641185,19.05576000,-3.66069500
-39.54593185,19.73327000,-3.37687300
-39.52545185,20.41688000,-2.63679900
-39.50497185,21.32633000,-2.52388000
-39.48449185,22.46162000,-2.52388000
-39.46401185,23.37107000,-2.58034000
-39.44353185,24.51247000,-2.40943600
-39.42305185,25.18998000,-2.29651800
-39.40257185,25.87359000,-2.01117000
-39.38209185,27.00888000,-2.01117000
-39.36161185,28.15027000,-1.84026600
-39.34113185,28.82778000,-1.21463700
-39.32065185,29.73723000,-0.93081450
-39.30017185,30.64668000,-0.41810360
-39.27969185,31.78808000,-0.53254800
-39.25921186,32.92337000,-0.58900720
-39.23873186,34.05865000,-0.64546640
-39.21825186,34.51643000,-0.41810360
-39.19777186,34.97421000,-0.41810360
-39.17729186,35.88366000,-0.24719990
-39.15681186,36.56728000,0.20599990
-39.13633186,37.47673000,0.37690360
-39.11585186,39.29563000,-0.13428140
-39.09537186,40.20508000,-0.07782220
-39.07489186,41.11453000,0.03509628
-39.05441186,41.79815000,0.14801480
-39.03393186,42.70760000,0.14801480
-39.01345186,43.61705000,0.14801480
-38.99297186,44.75234000,0.26245920
-38.97249186,45.66179000,0.66072570
-38.95201186,45.20401000,2.08288800
-38.93153186,45.66179000,2.82296200
-38.91105186,46.34541000,2.99234000
-38.89057186,47.48070000,3.05032500
-38.87009186,48.39015000,3.27768800
-38.84961186,49.29960000,3.33414700
-38.82913186,49.75127000,3.50505100
-38.80865186,50.43489000,3.50505100
-38.78817186,51.34434000,3.56151000
-38.76769186,52.71157000,3.50505100
-38.74721186,53.84686000,4.13068000
-38.72673186,54.53047000,4.75630900
-38.70625186,55.43992000,4.98367300
-38.68577186,55.89160000,5.26902100
-38.66529186,57.25883000,5.32548000
-38.64481186,58.16828000,5.26902100
-38.62433186,58.84579000,5.83666500
-38.60385186,59.52940000,6.23493100
-38.58337186,60.43885000,6.12201300
-38.56289186,61.34830000,6.46382000
-38.54241186,62.25776000,6.69118300
-38.52193186,63.39915000,6.97500500
-38.50145186,63.85082000,7.48771600
-38.48097186,64.30860000,7.82799800
-38.46049186,65.21805000,7.65861900
-38.44001186,66.12750000,7.71507900
-38.41953186,66.35334000,8.05688600
-38.39905186,67.26890000,7.82799800
-38.37857186,68.17834000,8.11334500
-38.35809186,68.85586000,8.16980500
-38.33761186,69.76531000,8.05536100
-38.31713186,70.44892000,8.51161200
-38.29665186,71.35838000,8.73897500
-38.27617186,71.81615000,8.79543400
-38.25569186,72.72560000,8.79543400
-38.23521186,73.40311000,9.02279700
-38.21473186,73.86089000,9.08078200
-38.19425186,74.54451000,9.70641200
-38.17377186,75.22202000,10.21912000
-38.15329186,76.13147000,10.38850000
-38.13281186,76.58924000,10.73031000
-38.11233186,77.49870000,10.90121000
-38.09185186,78.18231000,11.24302000
-38.07137186,78.85983000,11.58330000
-38.05089186,79.76928000,11.86865000
-38.03041186,80.91067000,11.86865000
-38.00993186,82.04596000,11.92511000
-37.98945186,82.49763000,12.26691000
-37.96897186,83.63902000,12.55074000
-37.94849186,84.31653000,13.00546000
-37.92801186,85.22599000,12.83609000
-37.90753186,85.22599000,12.83609000
-37.88705186,85.90960000,12.94900000
-37.86657186,86.13544000,13.06345000
-37.84609186,86.81905000,13.34727000
-37.82561186,87.95434000,13.40373000
-37.80513186,88.18628000,13.23283000
-37.78465186,88.86379000,13.34727000
-37.76417186,89.54740000,13.74554000
-37.74369186,90.91464000,13.91644000
-37.72321186,91.36631000,14.54207000
-37.70273186,92.27576000,14.88388000
-37.68225186,92.50770000,15.22568000
-37.66177186,93.18521000,15.28214000
-37.64129186,94.32660000,15.45305000
-37.62081187,95.01022000,15.56597000
-37.60033187,95.69383000,15.62395000
-37.57985187,96.37135000,16.19312000
-37.55937187,97.05496000,16.02222000
-37.53889187,97.51274000,15.96576000
-37.51841187,98.19635000,15.85131000
-37.49793187,99.10580000,16.07868000
-37.47745187,99.55747000,16.70431000
-37.45697187,99.78332000,16.87521000
-37.43649187,100.24110000,17.21702000
-37.41601187,100.92470000,17.15903000
-37.39553187,101.60220000,17.15903000
-37.37505187,102.06000000,17.38639000
-37.35457187,102.51170000,17.67174000
