Frequency,Channel A,Channel B
(ms),(V),(mV)

-47.18665027,-1.53874300,-47.18161000
-47.16617027,-1.54438900,-50.56916000
-47.14569027,-1.55003500,-53.39213000
-47.12521027,-1.56148000,-55.66576000
-47.10473027,-1.56712500,-59.05331000
-47.08425027,-1.57841700,-61.32694000
-47.06377027,-1.58970900,-64.71449000
-47.04329027,-1.60100100,-67.55272000
-47.02281027,-1.60664700,-69.81109000
-47.00233027,-1.61229300,-72.63405000
-46.98185027,-1.61793900,-75.47227000
-46.96137027,-1.62938300,-78.85983000
-46.94089027,-1.63502900,-81.69804000
-46.92041027,-1.64067500,-84.52100000
-46.89993027,-1.64632100,-86.21478000
-46.87945027,-1.65761300,-88.48841000
-46.85897027,-1.66890500,-91.31138000
-46.83849027,-1.68019700,-94.14960000
-46.81801027,-1.69148800,-96.97256000
-46.79753027,-1.69713400,-99.79552000
-46.77705027,-1.70857900,-102.06910000
-46.75657027,-1.71422500,-104.89210000
-46.73609027,-1.72551700,-107.71510000
-46.71561027,-1.73116200,-111.11790000
-46.69513027,-1.73680800,-113.94080000
-46.67465027,-1.74245400,-116.21450000
-46.65417027,-1.75374600,-119.03740000
-46.63369027,-1.76503800,-121.86040000
-46.61321027,-1.77633000,-124.69860000
-46.59273027,-1.78777400,-127.52160000
-46.57225027,-1.79342000,-130.92440000
-46.55177027,-1.79906600,-133.74740000
-46.53129027,-1.80471200,-136.58560000
-46.51081027,-1.81600400,-138.84390000
-46.49033027,-1.82165000,-141.66690000
-46.46985027,-1.82729600,-144.50510000
-46.44937027,-1.83858800,-146.76350000
-46.42889027,-1.84988000,-149.58650000
-46.40841027,-1.86117100,-151.86010000
-46.38793027,-1.87246300,-154.11850000
-46.36745027,-1.88390800,-156.37680000
-46.34697027,-1.88955400,-159.77960000
-46.32649027,-1.90084500,-162.03800000
-46.30601027,-1.91213700,-164.87620000
-46.28553027,-1.91778300,-167.69920000
-46.26505027,-1.92342900,-170.52220000
-46.24457027,-1.92907500,-173.92500000
-46.22409027,-1.94036700,-176.74790000
-46.20361027,-1.95181100,-179.58620000
-46.18313027,-1.96310300,-181.84450000
-46.16265027,-1.96874900,-184.66750000
-46.14217027,-1.97439500,-186.94110000
-46.12169027,-1.98004100,-189.76410000
-46.10121027,-1.99133300,-192.02240000
-46.08073027,-1.99713100,-194.29610000
-46.06025027,-2.00277700,-196.55450000
-46.03977027,-2.00842300,-198.82810000
-46.01929027,-2.01406900,-201.65100000
-45.99881027,-2.01971500,-204.47400000
-45.97833027,-2.03100700,-206.74760000
-45.95785027,-2.04229900,-210.13520000
-45.93737027,-2.04794500,-212.97340000
-45.91689027,-2.05923700,-214.66720000
-45.89641027,-2.06488200,-218.05470000
-45.87593027,-2.07052800,-220.32840000
-45.85545027,-2.08182000,-222.58670000
-45.83497027,-2.08761900,-225.42500000
-45.81449028,-2.09326500,-227.68330000
-45.79401028,-2.09891100,-231.07090000
-45.77353028,-2.10455600,-233.34450000
-45.75305028,-2.11020200,-236.16750000
-45.73257028,-2.12149400,-237.86130000
-45.71209028,-2.13278600,-240.69950000
-45.69161028,-2.13843200,-242.95780000
-45.67113028,-2.14972400,-245.21620000
-45.65065028,-2.15537000,-247.48980000
-45.63017028,-2.16101600,-248.61900000
-45.60969028,-2.16666200,-250.87740000
-45.58921028,-2.17810600,-253.15100000
-45.56873028,-2.18375200,-255.40940000
-45.54825028,-2.18939800,-258.23230000
-45.52777028,-2.19504400,-261.07060000
-45.50729028,-2.20633600,-262.76430000
-45.48681028,-2.21198200,-265.58730000
-45.46633028,-2.22327400,-266.71650000
-45.44585028,-2.23456500,-268.99010000
-45.42537028,-2.24021100,-271.24850000
-45.40489028,-2.24585700,-273.50690000
-45.38441028,-2.25150300,-275.78050000
-45.36393028,-2.26279500,-278.03890000
-45.34345028,-2.26844100,-280.31250000
-45.32297028,-2.27988500,-282.00630000
-45.30249028,-2.28553100,-284.26460000
-45.28201028,-2.29117700,-285.95840000
-45.26153028,-2.29682300,-288.23210000
-45.24105028,-2.30811500,-289.92580000
-45.22057028,-2.31940700,-291.05500000
-45.20009028,-2.32505300,-292.74880000
-45.17961028,-2.33069800,-295.00710000
-45.15913028,-2.34199000,-296.71620000
-45.13865028,-2.34763600,-298.97450000
-45.11817028,-2.35908100,-301.79750000
-45.09769028,-2.37037300,-303.50660000
-45.07721028,-2.37601900,-305.76490000
-45.05673028,-2.38166500,-308.02330000
-45.03625028,-2.39295600,-309.73230000
-45.01577028,-2.40424800,-310.86150000
-44.99529028,-2.40989400,-313.11990000
-44.97481028,-2.42133900,-315.39350000
-44.95433028,-2.42698500,-316.52270000
-44.93385028,-2.43827600,-318.21650000
-44.91337028,-2.44392200,-319.91030000
-44.89289028,-2.44956800,-322.16860000
-44.87241028,-2.45521400,-323.87770000
-44.85193028,-2.46086000,-326.13600000
-44.83145028,-2.47215200,-327.82980000
-44.81097028,-2.48344400,-328.95900000
-44.79049028,-2.49473500,-331.23260000
-44.77001028,-2.50038100,-333.49100000
-44.74953028,-2.51167300,-335.18480000
-44.72905028,-2.52311800,-336.89380000
-44.70857028,-2.53441000,-340.84590000
-44.68809028,-2.54570200,-342.53970000
-44.66761028,-2.55134700,-344.81340000
-44.64713028,-2.55699300,-346.50710000
-44.62665028,-2.56263900,-347.63630000
-44.60617028,-2.56828500,-348.76550000
-44.58569028,-2.57957700,-349.89470000
-44.56521028,-2.59102200,-351.03910000
-44.54473028,-2.59666700,-351.03910000
-44.52425028,-2.60231300,-352.73290000
-44.50377028,-2.61360500,-354.42670000
-44.48329028,-2.62489700,-356.68510000
-44.46281028,-2.63618900,-358.39410000
-44.44233028,-2.64748100,-360.65250000
-44.42185028,-2.65312700,-362.91090000
-44.40137028,-2.65877200,-364.61990000
-44.38089028,-2.66441800,-366.31360000
-44.36041028,-2.67586300,-367.44280000
-44.33993028,-2.68150900,-368.57200000
-44.31945028,-2.68715500,-370.28100000
-44.29897028,-2.69280100,-371.97480000
-44.27849028,-2.69844700,-373.10400000
-44.25801028,-2.70409300,-374.23320000
-44.23753028,-2.70973800,-375.36240000
-44.21705028,-2.72118300,-376.49160000
-44.19657028,-2.72682900,-378.76520000
-44.17609028,-2.73247500,-380.45900000
-44.15561029,-2.73812100,-381.58820000
-44.13513029,-2.74376700,-382.71730000
-44.11465029,-2.75505900,-383.84650000
-44.09417029,-2.76635000,-384.97570000
-44.07369029,-2.77764200,-386.68480000
-44.05321029,-2.78328800,-387.81390000
-44.03273029,-2.78893400,-388.94310000
-44.01225029,-2.79458000,-390.07230000
-43.99177029,-2.80022600,-391.21680000
-43.97129029,-2.80602400,-392.34590000
-43.95081029,-2.80602400,-394.03970000
-43.93033029,-2.81167000,-395.16890000
-43.90985029,-2.81731600,-396.87790000
-43.88937029,-2.82296200,-398.57170000
-43.86889029,-2.82860800,-399.70090000
-43.84841029,-2.83425400,-400.26550000
-43.82793029,-2.84554600,-401.39470000
-43.80745029,-2.85119200,-402.52390000
-43.78697029,-2.86248400,-403.08850000
-43.76649029,-2.86812900,-404.21760000
-43.74601029,-2.87377500,-404.21760000
-43.72553029,-2.87942100,-404.21760000
-43.70505029,-2.88506700,-404.79750000
-43.68457029,-2.89071300,-405.92670000
-43.66409029,-2.89635900,-407.05580000
-43.64361029,-2.90780400,-408.18500000
-43.62313029,-2.91345000,-409.31420000
-43.60265029,-2.91909600,-410.44340000
