Frequency,Channel A,Channel B
(ms),(mV),(mV)

-47.30585133,-145.26810000,-29.20011000
-47.28537133,-145.84790000,-28.97122000
-47.26489133,-146.97710000,-29.42595000
-47.24441133,-147.55700000,-29.42595000
-47.22393133,-149.26600000,-29.20011000
-47.20345133,-150.39520000,-29.76775000
-47.18297133,-151.53960000,-29.88372000
-47.16249133,-152.10420000,-30.10956000
-47.14201133,-153.24870000,-30.22248000
-47.12153133,-154.95770000,-30.56429000
-47.10105133,-155.52230000,-30.79317000
-47.08057133,-156.66680000,-31.13498000
-47.06009133,-156.66680000,-31.36082000
-47.03961133,-157.23140000,-31.47374000
-47.01913133,-157.79590000,-31.70263000
-46.99865133,-158.37580000,-31.81555000
-46.97817133,-159.50500000,-32.15735000
-46.95769133,-160.08480000,-32.27027000
-46.93721133,-161.21400000,-32.04443000
-46.91673133,-161.79390000,-32.38624000
-46.89625133,-162.92310000,-32.84097000
-46.87577133,-163.48760000,-33.06680000
-46.85529133,-164.63210000,-33.29569000
-46.83481133,-165.76130000,-33.18277000
-46.81433133,-166.34110000,-33.40861000
-46.79385133,-166.90570000,-33.40861000
-46.77337133,-167.47030000,-33.86639000
-46.75289133,-168.61470000,-34.32111000
-46.73241133,-169.17930000,-34.09223000
-46.71193133,-169.74390000,-34.09223000
-46.69145133,-170.32380000,-34.54695000
-46.67097133,-170.88840000,-34.66292000
-46.65049133,-171.45300000,-34.77584000
-46.63001133,-172.03280000,-35.34348000
-46.60953133,-172.59740000,-35.45640000
-46.58905133,-173.16200000,-35.57237000
-46.56857133,-173.74190000,-35.91113000
-46.54809133,-174.30650000,-36.14002000
-46.52761133,-174.87100000,-35.91113000
-46.50713133,-176.01550000,-36.14002000
-46.48665133,-177.15990000,-36.25294000
-46.46617133,-177.72450000,-36.36890000
-46.44569133,-178.85370000,-36.70766000
-46.42521133,-179.43360000,-36.36890000
-46.40473133,-179.99820000,-36.48183000
-46.38425133,-181.70720000,-36.71072000
-46.36377133,-182.27180000,-36.59474000
-46.34329133,-182.85160000,-37.39128000
-46.32281133,-183.41620000,-37.62017000
-46.30233133,-184.56070000,-37.39128000
-46.28185133,-185.12530000,-37.62017000
-46.26137133,-186.25440000,-37.62017000
-46.24089133,-186.83430000,-37.50419000
-46.22041133,-187.39890000,-37.84600000
-46.19993133,-188.54330000,-38.18781000
-46.17945133,-189.10790000,-38.07489000
-46.15897133,-189.67250000,-38.52962000
-46.13849133,-190.25240000,-38.64254000
-46.11801133,-190.81700000,-38.64254000
-46.09753133,-191.38160000,-39.09726000
-46.07705133,-192.52600000,-38.75545000
-46.05657133,-193.09060000,-38.64254000
-46.03609133,-193.67050000,-38.98434000
-46.01561133,-194.23500000,-38.98434000
-45.99513133,-194.79960000,-38.98434000
-45.97465133,-195.36420000,-39.21323000
-45.95417133,-196.50870000,-39.21323000
-45.93369133,-197.07330000,-39.55199000
-45.91321133,-197.65310000,-40.34852000
-45.89273133,-198.21770000,-40.34852000
-45.87225133,-198.78230000,-40.34852000
-45.85177133,-199.36220000,-40.34852000
-45.83129133,-199.92670000,-40.12268000
-45.81081133,-200.50660000,-40.23560000
-45.79033133,-200.50660000,-40.34852000
-45.76985133,-201.07120000,-40.34852000
-45.74937133,-201.07120000,-40.46449000
-45.72889133,-201.07120000,-40.69033000
-45.70841133,-202.20040000,-40.91922000
-45.68793134,-202.78020000,-40.91922000
-45.66745134,-203.34480000,-41.03213000
-45.64697134,-203.90940000,-41.14505000
-45.62649134,-204.47400000,-41.03213000
-45.60601134,-204.47400000,-41.14505000
-45.58553134,-205.05380000,-41.14505000
-45.56505134,-206.18300000,-41.26102000
-45.54457134,-205.61840000,-41.48686000
-45.52409134,-205.61840000,-41.48686000
-45.50361134,-205.61840000,-41.59978000
-45.48313134,-206.18300000,-41.71575000
-45.46265134,-206.74760000,-41.48686000
-45.44217134,-207.32750000,-41.26102000
-45.42169134,-207.89210000,-41.26102000
-45.40121134,-208.45670000,-41.26102000
-45.38073134,-209.02130000,-40.80630000
-45.36025134,-209.60110000,-41.26102000
-45.33977134,-209.60110000,-41.48686000
-45.31929134,-209.60110000,-41.48686000
-45.29881134,-209.60110000,-42.39936000
-45.27833134,-210.16570000,-42.62520000
-45.25785134,-210.73030000,-42.73812000
